time,x,y,z
3.735,0.09,0.97,0.02
3.740,0.09,0.97,0.02
3.745,0.09,0.96,-0.00
3.750,0.10,0.96,0.02
3.787,0.11,0.96,0.00
3.787,0.12,0.97,0.03
3.788,0.11,0.98,0.02
3.788,0.09,0.99,0.02
3.789,0.10,0.98,0.03
3.789,0.11,0.99,0.03
3.790,0.09,0.98,0.05
3.790,0.10,0.98,0.05
3.794,0.12,0.98,0.06
3.799,0.10,0.98,0.03
3.806,0.10,0.98,0.02
3.809,0.11,0.99,0.03
3.814,0.10,0.98,0.01
3.823,0.09,0.98,0.01
3.824,0.09,0.98,-0.00
3.829,0.09,0.99,-0.00
3.833,0.09,0.98,-0.03
3.839,0.09,0.98,-0.03
3.843,0.10,0.98,-0.03
3.849,0.10,0.98,-0.01
3.886,0.10,0.99,-0.01
3.887,0.11,0.98,0.03
3.887,0.15,0.97,0.07
3.888,0.13,0.99,0.04
3.888,0.11,0.99,0.03
3.889,0.11,1.00,0.02
3.889,0.10,1.00,-0.00
3.890,0.09,1.00,-0.02
3.893,0.08,1.01,-0.00
3.897,0.09,0.99,-0.04
3.907,0.06,1.00,-0.10
3.908,0.04,1.01,-0.08
3.912,0.06,1.03,-0.06
3.917,0.10,1.02,-0.01
3.923,0.13,1.00,0.02
3.927,0.14,0.99,0.06
3.932,0.15,0.99,0.08
3.939,0.14,0.97,0.06
3.942,0.13,0.98,0.03
3.947,0.11,0.98,0.03
3.986,0.10,0.99,0.00
3.987,0.09,0.99,-0.02
3.987,0.10,0.99,-0.05
3.988,0.10,0.99,-0.04
3.989,0.09,0.98,-0.04
3.989,0.07,1.00,-0.04
3.989,0.08,0.99,-0.03
3.990,0.08,0.99,-0.05
3.996,0.07,1.00,-0.01
