time,x,y,z
2.342,-0.00,0.21,1.05
2.343,-0.03,0.19,1.05
2.343,-0.05,0.17,1.05
2.344,-0.07,0.14,1.05
2.345,-0.07,0.11,1.06
2.346,-0.07,0.08,1.05
2.347,-0.06,0.06,1.06
2.348,-0.04,0.04,1.06
2.349,-0.03,0.03,1.07
2.371,-0.01,0.03,1.08
2.372,0.01,0.03,1.09
2.372,0.03,0.02,1.11
2.374,0.05,0.02,1.12
2.375,0.07,0.01,1.13
2.376,0.10,0.01,1.15
2.383,0.12,-0.00,1.15
2.386,0.14,-0.02,1.16
2.390,0.15,-0.03,1.16
2.461,0.15,-0.04,1.16
2.462,0.14,-0.04,1.16
2.462,0.12,-0.05,1.14
2.463,0.10,-0.06,1.12
2.463,0.08,-0.07,1.10
2.464,0.07,-0.08,1.08
2.464,0.06,-0.09,1.06
2.465,0.06,-0.10,1.04
2.465,0.06,-0.11,1.04
2.466,0.06,-0.11,1.03
2.467,0.08,-0.12,1.03
2.468,0.09,-0.12,1.03
2.469,0.10,-0.12,1.05
2.470,0.11,-0.12,1.06
2.471,0.12,-0.11,1.07
2.472,0.13,-0.10,1.08
2.491,0.15,-0.10,1.09
2.492,0.18,-0.10,1.09
2.493,0.20,-0.10,1.09
2.494,0.22,-0.10,1.09
2.495,0.23,-0.10,1.09
2.501,0.23,-0.10,1.08
2.505,0.23,-0.11,1.06
2.591,0.22,-0.11,1.04
2.592,0.22,-0.11,1.03
2.593,0.22,-0.11,1.02
2.593,0.23,-0.10,1.01
2.594,0.24,-0.10,1.00
2.594,0.25,-0.11,1.00
2.595,0.27,-0.11,1.00
2.596,0.28,-0.11,1.00
2.597,0.30,-0.11,1.01
2.597,0.32,-0.11,1.02
2.598,0.35,-0.10,1.04
2.599,0.37,-0.09,1.05
2.599,0.38,-0.09,1.06
2.600,0.39,-0.08,1.06
2.600,0.40,-0.08,1.06
2.601,0.40,-0.09,1.06
2.602,0.40,-0.09,1.06
2.602,0.40,-0.10,1.06
2.603,0.39,-0.10,1.05
2.603,0.38,-0.11,1.04
2.615,0.38,-0.11,1.03
2.616,0.39,-0.11,1.02
2.619,0.40,-0.12,1.02
2.667,0.41,-0.12,1.01
2.668,0.42,-0.12,1.02
2.668,0.42,-0.11,1.02
2.669,0.43,-0.10,1.03
2.669,0.43,-0.09,1.04
2.670,0.43,-0.07,1.06
2.671,0.43,-0.06,1.07
2.671,0.43,-0.05,1.07
2.672,0.42,-0.05,1.08
2.673,0.43,-0.05,1.08
2.673,0.43,-0.05,1.09
2.739,0.43,-0.06,1.08
2.742,0.42,-0.07,1.08
2.743,0.41,-0.07,1.07
2.744,0.39,-0.08,1.05
2.745,0.36,-0.08,1.04
2.746,0.35,-0.09,1.02
2.748,0.34,-0.10,1.00
2.748,0.32,-0.11,0.99
2.749,0.30,-0.11,0.98
2.750,0.28,-0.10,0.97
2.752,0.27,-0.09,0.98
2.804,0.26,-0.08,0.98
2.805,0.26,-0.08,0.99
2.806,0.26,-0.07,1.02
2.807,0.26,-0.07,1.04
2.808,0.27,-0.06,1.06
2.808,0.26,-0.05,1.08
2.809,0.25,-0.04,1.08
2.810,0.23,-0.03,1.08
2.811,0.21,-0.02,1.08
2.811,0.19,-0.02,1.07
2.812,0.18,-0.02,1.06
2.813,0.16,-0.02,1.04
2.813,0.13,-0.02,1.03
2.814,0.10,-0.03,1.01
2.815,0.07,-0.02,1.00
2.815,0.04,-0.02,0.99
2.816,0.02,-0.02,0.98
2.817,-0.00,-0.02,0.98
2.828,-0.02,-0.03,0.97
2.829,-0.05,-0.03,0.96
2.831,-0.08,-0.03,0.94
2.836,-0.12,-0.02,0.92
2.897,-0.16,-0.01,0.92
2.898,-0.21,-0.00,0.92
2.899,-0.26,0.01,0.93
2.900,-0.30,0.02,0.94
2.900,-0.35,0.03,0.96
2.901,-0.39,0.03,0.99
2.902,-0.43,0.03,1.02
2.902,-0.47,0.03,1.05
2.903,-0.52,0.02,1.08
2.903,-0.56,0.02,1.10
2.904,-0.61,0.02,1.11
2.905,-0.66,0.02,1.12
2.906,-0.71,0.02,1.13
2.906,-0.76,0.01,1.14
2.966,-0.79,-0.00,1.13
2.966,-0.82,-0.01,1.12
2.967,-0.84,-0.03,1.11
2.968,-0.86,-0.04,1.09
2.969,-0.87,-0.05,1.08
2.969,-0.87,-0.06,1.08
2.970,-0.86,-0.06,1.08
2.971,-0.85,-0.06,1.09
2.971,-0.82,-0.07,1.10
2.972,-0.77,-0.06,1.11
2.973,-0.71,-0.05,1.13
2.974,-0.64,-0.03,1.14
2.974,-0.57,-0.01,1.14
2.975,-0.51,0.01,1.14
2.983,-0.45,0.03,1.14
2.984,-0.40,0.05,1.13
2.989,-0.35,0.07,1.12
3.040,-0.32,0.08,1.10
3.041,-0.28,0.08,1.07
3.042,-0.25,0.07,1.05
3.042,-0.22,0.06,1.02
3.043,-0.20,0.04,1.00
3.044,-0.19,0.03,0.99
3.045,-0.19,0.03,0.99
3.045,-0.20,0.02,0.99
3.046,-0.20,0.00,1.00
3.047,-0.21,-0.02,1.01
3.048,-0.20,-0.04,1.02
3.048,-0.19,-0.05,1.04
3.053,-0.18,-0.05,1.06
3.063,-0.17,-0.05,1.07
3.064,-0.15,-0.05,1.08
3.069,-0.14,-0.04,1.09
3.142,-0.12,-0.03,1.10
3.143,-0.12,-0.02,1.10
3.144,-0.11,-0.02,1.09
3.145,-0.10,-0.01,1.08
3.147,-0.09,-0.01,1.07
3.148,-0.07,-0.01,1.06
3.148,-0.06,-0.01,1.05
3.149,-0.05,-0.01,1.05
3.150,-0.04,-0.01,1.04
3.151,-0.03,-0.00,1.04
3.152,-0.03,-0.00,1.04
3.153,-0.03,-0.00,1.04
3.153,-0.02,0.00,1.05
3.154,-0.02,0.00,1.05
3.155,-0.01,0.01,1.06
3.156,-0.01,0.02,1.07
3.157,-0.00,0.02,1.07
3.158,0.00,0.03,1.07
3.167,0.01,0.04,1.07
3.169,0.02,0.05,1.06
3.172,0.02,0.06,1.06
3.234,0.03,0.06,1.06
3.236,0.04,0.07,1.06
3.237,0.05,0.08,1.08
3.239,0.07,0.09,1.09
3.240,0.08,0.10,1.10
3.240,0.09,0.09,1.09
3.241,0.09,0.09,1.09
3.242,0.08,0.09,1.08
3.242,0.07,0.09,1.07
3.243,0.05,0.08,1.06
3.248,0.04,0.08,1.04
3.249,0.04,0.07,1.04
3.250,0.03,0.07,1.05
3.251,0.03,0.07,1.04
3.251,0.03,0.07,1.04
3.252,0.03,0.07,1.03
3.262,0.03,0.07,1.03
3.263,0.03,0.07,1.02
3.265,0.03,0.07,1.01
3.270,0.03,0.07,1.01
3.352,0.03,0.08,1.00
3.353,0.03,0.08,1.00
3.353,0.02,0.08,1.00
3.354,0.02,0.08,1.00
3.355,0.02,0.08,1.01
3.356,0.03,0.08,1.01
3.357,0.03,0.07,1.01
3.357,0.03,0.07,1.01
3.358,0.03,0.06,1.02
3.358,0.02,0.07,1.02
3.359,0.00,0.06,1.01
3.360,-0.02,0.07,1.01
3.360,-0.03,0.07,1.02
3.361,-0.04,0.06,1.02
3.362,-0.04,0.06,1.03
3.362,-0.04,0.05,1.03
3.363,-0.03,0.04,1.04
3.363,-0.02,0.04,1.05
3.364,0.00,0.04,1.06
3.371,0.01,0.05,1.06
3.421,0.02,0.05,1.07
3.421,0.02,0.06,1.08
3.422,0.02,0.07,1.08
3.423,0.02,0.07,1.08
3.423,0.01,0.06,1.08
3.424,0.00,0.06,1.07
3.425,-0.01,0.05,1.07
3.425,-0.02,0.05,1.07
3.426,-0.04,0.05,1.06
3.426,-0.04,0.05,1.05
3.427,-0.04,0.05,1.04
3.428,-0.04,0.04,1.03
3.433,-0.03,0.04,1.03
3.443,-0.02,0.05,1.03
3.444,-0.01,0.05,1.03
3.448,-0.01,0.05,1.00
3.453,-0.03,0.06,0.97
3.461,-0.04,0.07,0.97
3.463,-0.04,0.07,0.97
3.468,-0.03,0.07,0.99
3.514,-0.02,0.06,1.01
3.515,-0.01,0.06,1.05
3.517,-0.01,0.06,1.08
3.517,-0.00,0.06,1.09
3.518,0.00,0.06,1.09
3.518,0.00,0.06,1.09
3.519,0.00,0.05,1.08
3.519,0.00,0.05,1.07
3.520,-0.00,0.04,1.06
3.521,-0.01,0.04,1.05
3.529,-0.02,0.05,1.02
3.530,-0.04,0.05,1.00
3.532,-0.06,0.05,0.98
3.537,-0.07,0.05,0.97
3.545,-0.08,0.05,0.97
3.547,-0.07,0.05,0.98
3.552,-0.07,0.04,0.99
3.593,-0.06,0.04,0.99
3.594,-0.05,0.04,1.00
3.594,-0.05,0.05,1.00
3.595,-0.05,0.05,1.01
3.596,-0.05,0.06,1.02
3.597,-0.04,0.06,1.04
3.597,-0.03,0.06,1.07
3.598,-0.01,0.06,1.09
3.598,0.01,0.05,1.11
3.607,0.02,0.05,1.11
3.608,0.01,0.04,1.10
